_date,time,preclose,high,low,match,open,volume,turnover,matchitems,,
1994/9/5,1994/9/5,830.18,1016.38,868.15,962.52,871.16,5298086600,63271300000,0,,
1994/9/12,1994/9/12,962.52,1052.94,930.62,978.99,996.68,3445354800,38528600000,0,,
1994/9/19,1994/9/19,978.99,974.25,865.93,867.65,944.25,1845381300,19447200000,0,,
1994/9/26,1994/9/26,867.65,922.29,789.64,791.15,856.17,1518001300,15864300000,0,,
1994/10/5,1994/10/5,791.15,775.85,546.79,738.03,770.9,1174009500,10153700000,0,,
1994/10/10,1994/10/10,738.03,727.47,593.05,663.75,678.02,1499612600,13834800000,0,,
1994/10/17,1994/10/17,663.75,746.9,615.5,712.71,617.9,1431017300,13771500000,0,,
1994/10/24,1994/10/24,712.71,794.85,675.65,677.45,741.05,1924593600,17069700000,0,,
1994/10/31,1994/10/31,677.45,722.6,642.86,666.77,648.24,896642800,7815000000,0,,
1994/11/7,1994/11/7,666.77,743.22,648.68,731.16,649.14,1164556500,12846900000,0,,
1994/11/14,1994/11/14,731.16,739.56,685.62,698.81,731.63,643820800,6559500000,0,,
1994/11/21,1994/11/21,698.81,705.25,674.65,685.33,695.75,290641900,2413500000,0,,
1994/11/28,1994/11/28,685.33,689.96,670.61,677.91,683.83,158215500,1353500000,0,,
1994/12/5,1994/12/5,677.91,675.42,635.78,640.67,674.54,161545100,1227600000,0,,
1994/12/12,1994/12/12,640.67,693.76,620.47,680.23,636.35,391672100,3504900000,0,,
1994/12/19,1994/12/19,680.23,695.22,653.31,677.84,684.62,868065500,9772500000,0,,
1994/12/26,1994/12/26,677.84,689.13,642.29,647.86,684.81,553927600,5397700000,0,,
1995/1/3,1995/1/3,647.86,657.45,630.57,640.75,637.14,151291200,1171600000,0,,
1995/1/9,1995/1/9,640.75,637.55,593.88,597.83,637.52,162886700,1720451000,0,,
1995/1/16,1995/1/16,597.83,593.89,559.74,571.23,589.83,180663700,1059000000,0,,
1995/1/23,1995/1/23,571.23,564.9,547.42,562.58,564.9,190154200,992400000,0,,
1995/2/6,1995/2/6,562.58,559.78,524.44,541.37,559.78,201980800,807500000,0,,
1995/2/13,1995/2/13,541.37,552.31,532.66,533.76,537.95,171016400,593700000,0,,
1995/2/20,1995/2/20,533.76,608.58,534.56,558.42,534.56,500935000,3309900000,0,,
1995/2/27,1995/2/27,558.42,590.91,544.12,577.22,589.98,343577800,2637900000,0,,
1995/3/6,1995/3/6,577.22,639.01,582.61,586.29,586.39,1102974500,8520400000,0,,
1995/3/13,1995/3/13,586.29,599.8,568.64,593.52,596.65,339369300,2670500000,0,,
1995/3/20,1995/3/20,593.52,620.17,581.62,611.77,597.85,591467400,4748200000,0,,
1995/3/27,1995/3/27,611.77,647.79,615.45,646.91,618.47,487425400,6568556000,0,,
1995/4/3,1995/4/3,646.91,677.41,641.84,673.72,651.04,1033972700,8250100000,0,,
1995/4/10,1995/4/10,673.72,680.29,627.02,640.04,678.74,1026526000,6272100000,0,,
1995/4/17,1995/4/17,640.04,649.18,625.16,635.99,640.17,440395400,3254700000,0,,
1995/4/24,1995/4/24,635.99,637.82,548.2,579.93,629.19,537337000,3739300000,0,,
1995/5/2,1995/5/2,579.93,586.23,568.09,574.17,576.69,205032200,1293700000,0,,
1995/5/8,1995/5/8,574.17,593.43,564.86,584.84,573.12,261407600,1897200000,0,,
1995/5/15,1995/5/15,584.84,855.81,577.15,855.81,583.19,2191619200,19509000000,0,,
1995/5/22,1995/5/22,855.81,927.95,672.35,727.62,919.75,3168439600,28686900000,0,,
1995/5/29,1995/5/29,727.62,725.71,690.73,716.82,719.64,622725300,5037700000,0,,
1995/6/5,1995/6/5,716.82,722.2,675.67,702.62,718.14,677277500,4986400000,0,,
1995/6/12,1995/6/12,702.62,702.91,636.25,646.54,696.65,753536900,4584300000,0,,
1995/6/19,1995/6/19,646.54,653.92,634.84,650.14,637.57,427165500,2803400000,0,,
1995/6/26,1995/6/26,650.14,659.72,625.71,630.58,650.91,571575500,3325700000,0,,
1995/7/3,1995/7/3,630.58,666.78,610.47,666.78,622.27,843276800,5353700000,0,,
1995/7/10,1995/7/10,666.78,670.56,645.85,652.8,669.42,1014406400,5432700000,0,,
1995/7/17,1995/7/17,652.8,723.37,651.83,693.56,651.95,2364684200,11514100000,0,,
1995/7/24,1995/7/24,693.56,716.19,686.9,695.42,699.84,2243884200,10104700000,0,,
1995/7/31,1995/7/31,695.42,733.86,688.65,709.88,699.6,990460400,9930528000,0,,
1995/8/7,1995/8/7,709.88,749.16,705.05,744.99,708.28,2749464400,13269500000,0,,
1995/8/14,1995/8/14,744.99,788.23,749.38,757.43,760.65,3883411600,23520600000,0,,
1995/8/21,1995/8/21,757.43,755.46,718.19,727.57,752.06,1393327400,7628600000,0,,
1995/8/28,1995/8/28,727.57,741.34,711.44,728.84,724.1,772289900,5833433000,0,,
